Amostra,Tratamento,especie,Grupo,individuo,N,P,Mg,K,Ca,Al_ppm ,area,peso
94,Savana,CB,B,2,1.366,0.0857,0.132,0.481,0.1646,200,431.6372,5.5759
95,Savana,CB,B,3,1.46,0.0786,0.1137,0.441,0.2037,64.5,322.3413,3.7763
96,Savana,DM,B,1,1.649,0.0643,0.0853,0.308,0.1243,122.8,68.9366,0.603
97,Savana,DM,B,2,1.555,0.0643,0.0946,0.319,0.1246,25.8,72.2644,0.637
98,Savana,DM,B,3,1.413,0.0714,0.0834,0.324,0.1074,19.3,73.9173,0.6596
243,Savana,GN,D,1,3.981,0.1786,0.0349,1.465,0.1746,335.8,100.2804,0.7448
244,Savana,GN,D,2,4.447,0.2214,0.2022,1.287,0.3555,225.8,231.8447,2.17
245,Savana,GN,D,3,4.235,0.2286,0.2745,2.491,0.4532,342,231.8447,2.0377
99,Savana,KC,D,1,4.475,0.0786,0.1285,0.503,0.2742,51.8,66.3424,0.8701
100,Savana,KC,D,2,4.994,0.0786,0.0053,0.823,0.237,32.3,287.3949,4.0914
101,Savana,KC,D,3,4.758,0.0786,0.103,0.871,0.1501,58,140.8642,2.0709
102,Savana,MP,S,1,1.319,0.05,0.0885,0.282,0.2609,2405.5,106.6669,1.5125
103,Savana,MP,S,2,1.272,0.0357,0.0706,0.311,0.2973,2100.5,94.5334,1.6621
104,Savana,MP,S,3,1.272,0.0357,0.0799,0.242,0.1917,2022.8,93.054,1.5301
105,Savana,OH,S,1,1.272,0.0786,0.2279,0.658,0.6635,155,190.9919,2.3078
106,Savana,OH,S,2,0.989,0.1143,0.1633,1.083,0.4673,419.5,151.9391,1.5016
249,Savana,OH,S,3,1.271,0.0714,0.1616,0.745,0.6902,309.8,114.2753,1.5057
107,Savana,QG,D,1,1.649,0.1,0.0861,0.642,0.2074,4535,246.8072,2.746
108,Savana,QG,D,2,1.602,0.0857,0.0661,0.61,0.149,3560,133.0972,1.6057
109,Savana,QG,D,3,1.46,0.0786,0.0559,0.58,0.1034,3595,,
246,Savana,QP,D,1,1.482,0.0857,0.0812,0.632,0.2355,12877.5,38.7593,0.2584
247,Savana,QP,D,2,1.398,0.0786,0.0736,0.728,0.3979,15012.5,,
248,Savana,QP,D,3,1.059,0.0714,0.0728,0.893,0.2095,12522.5,50.8309,0.4732
251,Savana,SA,B,1,2.075,0.0714,0.0941,0.561,0.2206,258.3,,
252,Savana,SA,B,2,1.906,0.0643,0.0734,0.313,0.1127,251.8,111.7327,1.0808
253,Savana,SA,B,3,1.99,0.0571,0.0704,0.369,0.15,238.8,192.908,1.7388
110,Savana,SM,S,1,2.356,0.05,0.1246,0.569,0.1672,297,145.7249,4.422
111,Savana,SM,S,2,2.167,0.0643,0.0838,0.903,0.1295,148.5,361.5083,9.4754
250,Savana,SM,S,3,1.143,0.05,0.095,0.862,0.2204,329.3,214.8402,5.3828
112,Savana,SP,S,1,0.612,0.0571,0.0471,0.236,0.0756,226,164.1068,2.2074
113,Savana,SP,S,2,0.612,0.0571,0.0537,0.36,0.081,180.8,240.9821,4.3135
114,Savana,SP,S,3,1.319,0.1214,0.0665,0.921,0.0879,174.3,129.361,0.9379
115,Savana,VE,S,1,0.848,0.05,0.0277,0.254,0.1809,10665,84.5121,1.2047
116,Savana,VE,S,2,0.754,0.0571,0.0347,0.326,0.1955,10975,98.3992,1.5385
117,Savana,VE,S,3,1.084,0.0571,0.0378,0.191,0.1738,9212.5,129.3436,1.7533
46,Campo,AT,D,1,1.884,0.1,0.1697,1.914,0.6755,187.3,245.255,4.0754
47,Campo,AT,D,2,1.649,0.1,0.1628,1.577,0.601,245.3,225.0376,2.8538
48,Campo,AT,D,3,1.837,0.1071,0.1613,1.683,0.5937,284,243.7034,3.6303
79,Campo,BC,B,1,1.036,0.0429,0.094,0.635,0.3673,135.5,228.006,4.662
80,Campo,BC,B,2,1.131,0.05,0.1245,0.682,0.4184,155,228.6737,4.3797
51,Campo,BC,B,3,0.989,0.05,0.1048,0.651,0.4264,103.3,274.3033,5.1679
52,Campo,BS,B,1,1.319,0.0643,0.1669,0.523,0.4764,103.3,137.8604,1.8372
53,Campo,BS,B,2,1.178,0.0643,0.156,0.698,0.4833,103.3,112.3572,1.1154
